330|47.00|Ciqual 1995||11|208
331|0.000|Ciqual 1995||11|221
332|83.000|Ciqual 1995||11|255
333|2.500|Ciqual 1995||11|291
334|27.000|Ciqual 1995||11|301
335|0.400|Ciqual 1995||11|303
336|17.000|Ciqual 1995||11|304
337|37.000|Ciqual 1995||11|305
338|287.000|Ciqual 1995||11|306
339|4.000|Ciqual 1995||11|307
340|0.000|Ciqual 1995||11|324
341|0.00|Ciqual 1995||11|319
342|80.000|Ciqual 1995||11|401
343|0.010|Ciqual 1995||11|404
344|0.040|Ciqual 1995||11|405
345|0.400|Ciqual 1995||11|406
346|0.130|Ciqual 1995||11|415
347|37.000|Ciqual 1995||11|417
348|0.000|Ciqual 1995||11|601
349|0.000|Ciqual 1995||11|606
350|0.000|Ciqual 1995||11|645
351|0.000|Ciqual 1995||11|646
352|201.0|Ciqual 1995||11|268
353|0.10|Ciqual 1995||11|209
354|0.00|Ciqual 1995||11|418
355|9.90|Ciqual 1995||11|205
356|0.000|Unknown||11|210
357|0.120|Ciqual 1996||11|309
358|0.140|Ciqual 1996||11|312
359|0.100|Ciqual 1996||11|315
360|2.60|Ciqual 1995||12|203
361|1.20|Ciqual 1995||12|204
362|62.00|Ciqual 1995||12|208
363|0.000|Ciqual 1995||12|221
364|75.900|Ciqual 1995||12|255
365|7.300|Ciqual 1995||12|291
366|12.000|Ciqual 1995||12|301
367|0.800|Ciqual 1995||12|303
368|30.000|Ciqual 1995||12|304
369|57.000|Ciqual 1995||12|305
370|228.000|Ciqual 1995||12|306
371|10.000|Ciqual 1995||12|307
372|0.800|Ciqual 1993||12|309
373|0.130|Unknown||12|312
374|0.460|Unknown||12|315
375|0.000|Ciqual 1995||12|324
376|0.00|Ciqual 1995||12|319
377|0.010|Ciqual 1995||12|404
378|28.000|Ciqual 1995||12|401
379|0.00|Ciqual 1995||12|418
380|0.000|Ciqual 1995||12|601
381|0.000|Ciqual 1995||12|606
382|0.000|Ciqual 1995||12|645
383|0.00|Ciqual 1995||12|646
384|0.60|Ciqual 1995||12|209
385|8.30|Ciqual 1995||12|205
386|0.00|Unknown||12|210
387|2.00|Ciqual 1995||12|406
388|0.12|Ciqual 1995||12|405
389|0.70|Ciqual 1995||13|203
390|0.20|Ciqual 1995||13|204
391|62.00|Ciqual 1995||13|208
392|0.000|Ciqual 1995||13|221
393|80.70|Ciqual 1995||13|255
394|2.500|Ciqual 1995||13|291
395|21.000|Ciqual 1995||13|301
396|0.400|Ciqual 1995||13|303
397|9.000|Ciqual 1995||13|304
398|20.000|Ciqual 1995||13|305
399|171.000|Ciqual 1995||13|306
400|2.000|Ciqual 1995||13|307
401|0.100|Ciqual 1993||13|309
402|0.110|Ciqual 1993||13|312
403|0.050|Unknown||13|315
404|0.000|Ciqual 1995||13|324
405|0.00|Ciqual 1995||13|319
406|7.000|Ciqual 1995||13|401
407|0.030|Ciqual 1995||13|404
408|0.060|Ciqual 1995||13|405
409|0.300|Ciqual 1995||13|406
410|11.000|Ciqual 1995||13|417
411|0.000|Ciqual 1995||13|601
412|0.000|Ciqual 1995||13|606
413|0.000|Ciqual 1995||13|645
414|0.000|Ciqual 1995||13|646
415|0.000|Ciqual 1995||13|209
416|15.30|Ciqual 1995||13|205
417|0.000|Unknown||13|210
418|0.00|Ciqual 1995||13|418
419|0.50|Ciqual 1995||14|203
420|0.10|Ciqual 1995||14|204
421|32.00|Ciqual 1995||14|208
422|0.000|Ciqual 1995||14|221
423|89.400|Ciqual 1995||14|255
424|1.900|Ciqual 1995||14|291
425|20.000|Ciqual 1995||14|301
426|0.400|Ciqual 1995||14|303
427|13.000|Ciqual 1995||14|304
428|11.00|Ciqual 1995||14|305
429|214.000|Ciqual 1995||14|306
430|3.000|Ciqual 1995||14|307
431|0.100|Unknown||14|309
432|0.02|Unknown||14|312
433|0.020|Unknown||14|315
434|0.000|Ciqual 1995||14|324
435|0.00|Ciqual 1995||14|319
436|64.000|Ciqual 1995||14|401
